station	x(km)	y(km)	z(km)	lat	lng	elv(m)	unit	component	response
8G.SN01..HH	60.235	53.153	-0.884	-0.837	-91.091	884.000	m/s	E,N,Z	248732000.00,249122000.00,249430000.00
8G.SN03..HH	60.377	60.124	-0.707	-0.774	-91.090	707.000	m/s	E,N,Z	2962220000.00,2969240000.00,2946990000.00
8G.SN04..HH	56.019	51.698	-1.073	-0.850	-91.129	1073.000	m/s	E,N,Z	2599400000.00,2564250000.00,2614120000.00
8G.SN05..HH	53.978	51.490	-1.045	-0.852	-91.148	1045.000	m/s	E,N,Z	2768020000.00,2741120000.00,2740730000.00
8G.SN07..HH	51.478	56.466	-1.067	-0.807	-91.170	1067.000	m/s	E,N,Z	2753300000.00,2753170000.00,2757670000.00
8G.SN08..HH	48.970	51.395	-0.661	-0.853	-91.193	661.000	m/s	E,N,Z	2757880000.00,2742610000.00,2761960000.00
8G.SN11..HH	56.599	57.043	-0.935	-0.802	-91.124	935.000	m/s	E,N,Z	2855490000.00,2845270000.00,2853690000.00
8G.SN12..HH	55.380	56.021	-0.957	-0.811	-91.135	957.000	m/s	E,N,Z	2805690000.00,2833360000.00,2817160000.00
8G.SN13..HH	62.059	77.315	-0.010	-0.620	-91.075	10.000	m/s	E,N,Z	2858130000.00,2854000000.00,2831240000.00
8G.SN14..HH	53.417	52.408	-0.913	-0.844	-91.153	913.000	m/s	E,N,Z	248504000.00,249122000.00,244559000.00
